Id;F_wh;C_wh;F_coord;C_coord
37822;95230;331551;50.166644775098,42.909195529175;47.125646068958,39.429415875834
37824;95056;331551;50.088888,43.007275;47.125646068958,39.429415875834
37825;77004;331551;51.99514,40.532237;47.125646068958,39.429415875834
37826;27003;331551;45.368536,41.708644;47.125646068958,39.429415875834
37827;17691;331551;49.734622,40.392325;47.125646068958,39.429415875834
37828;20203;331551;50.959035560975,42.364113846748;47.125646068958,39.429415875834
37829;9926;331551;51.160793311564,42.278398572766;47.125646068958,39.429415875834
37831;5204;331551;50.17091,40.401083;47.125646068958,39.429415875834
37841;331578;331551;51.834063,44.833065;47.125646068958,39.429415875834
37854;331634;331551;51.972598,44.894618;47.125646068958,39.429415875834
37879;331757;331551;52.510992,46.175337;47.125646068958,39.429415875834
37892;331814;331551;52.160277,46.719725;47.125646068958,39.429415875834
37905;331871;331551;52.279886,46.408486;47.125646068958,39.429415875834
37918;331929;331551;52.36636,46.017503;47.125646068958,39.429415875834
37931;331988;331551;52.228538,46.341804;47.125646068958,39.429415875834
37957;332100;331551;52.278933,46.642542;47.125646068958,39.429415875834
37970;332155;331551;52.330921,46.367388;47.125646068958,39.429415875834
38009;332327;331551;52.221791,46.624701;47.125646068958,39.429415875834
38022;332383;331551;51.754179,47.48358;47.125646068958,39.429415875834
38035;332438;331551;51.730874,47.791963;47.125646068958,39.429415875834
38048;332493;331551;51.574292,43.604754;47.125646068958,39.429415875834
38073;332603;331551;51.554601,43.146469;47.125646068958,39.429415875834
38086;332658;331551;51.487928,43.431909;47.125646068958,39.429415875834
38099;332717;331551;50.72015,45.916865;47.125646068958,39.429415875834
38112;332776;331551;50.379145,46.910626;47.125646068958,39.429415875834
38125;332831;331551;50.39943,47.106549;47.125646068958,39.429415875834
38138;332891;331551;50.424279,46.817031;47.125646068958,39.429415875834
38151;332950;331551;44.447655,41.498681;47.125646068958,39.429415875834
38177;333066;331551;52.342235,46.768144;47.125646068958,39.429415875834
38190;333121;331551;52.55571,46.543305;47.125646068958,39.429415875834
38203;333176;331551;52.503472,46.805873;47.125646068958,39.429415875834
38216;333231;331551;52.438892,46.718153;47.125646068958,39.429415875834
38229;333286;331551;51.732576,44.711568;47.125646068958,39.429415875834
38248;333399;331551;51.917743,46.578438;47.125646068958,39.429415875834
38258;333454;331551;52.049041,46.743953;47.125646068958,39.429415875834
38278;333564;331551;51.786382,46.333791;47.125646068958,39.429415875834
38288;333619;331551;51.826249,46.936435;47.125646068958,39.429415875834
38307;333729;331551;51.326973,48.24554;47.125646068958,39.429415875834
38317;333784;331551;51.0216,45.673035;47.125646068958,39.429415875834
38327;333897;331551;51.596307,42.673327;47.125646068958,39.429415875834
38334;333943;331551;45.628105,39.475324;47.125646068958,39.429415875834
38361;333947;331551;51.881699,42.871306;47.125646068958,39.429415875834
38375;333951;331551;50.811736,46.255601;47.125646068958,39.429415875834
38382;333949;331551;51.748899,42.806924;47.125646068958,39.429415875834
38389;333950;331551;51.587684,43.177156;47.125646068958,39.429415875834
38396;333952;331551;52.345558,48.719671;47.125646068958,39.429415875834
38403;333953;331551;51.975272,48.883326;47.125646068958,39.429415875834
38410;333954;331551;50.770944,47.390802;47.125646068958,39.429415875834
38417;333955;331551;50.958826,47.70612;47.125646068958,39.429415875834
38424;333956;331551;50.742653,47.442734;47.125646068958,39.429415875834
38431;333957;331551;50.677103,47.44436;47.125646068958,39.429415875834
38451;333960;331551;50.442141,47.301555;47.125646068958,39.429415875834
38458;333961;331551;50.784517,47.393578;47.125646068958,39.429415875834
38465;333962;331551;50.423987,47.384613;47.125646068958,39.429415875834
38478;333964;331551;52.097544,43.968769;47.125646068958,39.429415875834
38492;333966;331551;52.13144,45.180848;47.125646068958,39.429415875834
38499;333967;331551;52.192066,45.68854;47.125646068958,39.429415875834
38506;333968;331551;52.279858,45.42015;47.125646068958,39.429415875834
38513;333969;331551;52.433193,45.732836;47.125646068958,39.429415875834
38593;335619;331551;54.307463,47.628712;47.125646068958,39.429415875834
38600;335617;331551;51.813483,42.879185;47.125646068958,39.429415875834
38607;335616;331551;52.268077,43.893553;47.125646068958,39.429415875834
38614;335615;331551;52.222265,43.744119;47.125646068958,39.429415875834
38621;335610;331551;52.257455,43.785657;47.125646068958,39.429415875834
38628;335609;331551;52.391093,43.65744;47.125646068958,39.429415875834
38635;335608;331551;52.133657,43.887301;47.125646068958,39.429415875834
38642;335564;331551;52.255625,43.787507;47.125646068958,39.429415875834
38649;335563;331551;51.18069,43.707647;47.125646068958,39.429415875834
38656;335562;331551;51.206006,43.675577;47.125646068958,39.429415875834
38663;335561;331551;51.166905,43.416862;47.125646068958,39.429415875834
38670;335560;331551;51.019039,43.355561;47.125646068958,39.429415875834
38677;335559;331551;51.622813,46.032577;47.125646068958,39.429415875834
38690;335557;331551;51.436354,47.103737;47.125646068958,39.429415875834
38697;335556;331551;51.233073,46.975179;47.125646068958,39.429415875834
38704;335555;331551;51.305795,46.901975;47.125646068958,39.429415875834
38725;335553;331551;52.114592,42.954149;47.125646068958,39.429415875834
38732;335552;331551;51.985845,43.272647;47.125646068958,39.429415875834
38739;335551;331551;51.923653,43.216251;47.125646068958,39.429415875834
38753;335549;331551;52.233673,42.975763;47.125646068958,39.429415875834
38767;335547;331551;52.227606,43.054015;47.125646068958,39.429415875834
38788;335532;331551;51.389976,47.503415;47.125646068958,39.429415875834
38802;335519;331551;52.573244,47.60302;47.125646068958,39.429415875834
38815;335516;331551;52.517054,47.60497;47.125646068958,39.429415875834
38829;335514;331551;51.630406,46.418879;47.125646068958,39.429415875834
38836;335513;331551;51.593291,46.337743;47.125646068958,39.429415875834
38843;335512;331551;51.375018,46.220235;47.125646068958,39.429415875834
